marioX,marioY,score,vidas,morto
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
0,0,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
13,65502,40,2,0
